id,value
contreverse,
contreverse.analytics,
contreverse.analytics.cluster,
contreverse.analytics.cluster.AgglomerativeCluster,3938
contreverse.analytics.cluster.CommunityStructure,3812
contreverse.analytics.cluster.HierarchicalCluster,6714
contreverse.analytics.cluster.MergeEdge,743
contreverse.analytics.graph,
contreverse.analytics.graph.BetweennessCentrality,3534
contreverse.analytics.graph.LinkDistance,5731
contreverse.analytics.graph.MaxFlowMinCut,7840
contreverse.analytics.graph.ShortestPaths,5914
contreverse.analytics.graph.SpanningTree,3416
contreverse.analytics.optimization,
contreverse.analytics.optimization.AspectRatioBanker,7074
contreverse.animate,
contreverse.data,
contreverse.data.converters,
contreverse.data.converters.Converters,721
contreverse.data.converters.DelimitedTextConverter,4294
contreverse.data.converters.GraphMLConverter,9800
contreverse.data.converters.IDataConverter,1314
contreverse.data.converters.JSONConverter,2220
contreverse.data.DataField,1759
contreverse.data.DataSchema,2165
contreverse.data.DataSet,586
contreverse.data.DataSource,3331
contreverse.data.DataTable,772
contreverse.data.DataUtil,3322
contreverse.display,
contreverse.display.DirtySprite,8833
contreverse.display.LineSprite,1732
contreverse.display.RectSprite,3623
contreverse.display.TextSprite,10066
contreverse.flex,
contreverse.flex.contreverseVis,4116
contreverse.physics,
contreverse.physics.DragForce,1082
contreverse.physics.GravityForce,1336
contreverse.physics.IForce,319
contreverse.physics.NBodyForce,10498
contreverse.physics.Particle,2822
contreverse.physics.Simulation,9983
contreverse.physics.Spring,2213
contreverse.physics.SpringForce,1681
contreverse.query,
contreverse.query.AggregateExpression,1616
contreverse.query.And,1027
contreverse.query.Arithmetic,3891
contreverse.query.Average,891
contreverse.query.BinaryExpression,2893
contreverse.query.Comparison,5103
contreverse.query.CompositeExpression,3677
contreverse.query.Count,781
contreverse.query.DateUtil,4141
contreverse.query.Distinct,933
contreverse.query.Expression,5130
contreverse.query.ExpressionIterator,3617
contreverse.query.Fn,3240
contreverse.query.If,2732
contreverse.query.IsA,2039
contreverse.query.Literal,1214
contreverse.query.Match,3748
contreverse.query.Maximum,843
contreverse.query.methods,
contreverse.query.methods.add,593
contreverse.query.methods.and,330
contreverse.query.methods.average,287
contreverse.query.methods.count,277
contreverse.query.methods.distinct,292
contreverse.query.methods.div,595
contreverse.query.methods.eq,594
contreverse.query.methods.fn,460
contreverse.query.methods.gt,603
contreverse.query.methods.gte,625
contreverse.query.methods.iff,748
contreverse.query.methods.isa,461
contreverse.query.methods.lt,597
contreverse.query.methods.lte,619
contreverse.query.methods.max,283
contreverse.query.methods.min,283
contreverse.query.methods.mod,591
contreverse.query.methods.mul,603
contreverse.query.methods.neq,599
contreverse.query.methods.not,386
contreverse.query.methods.or,323
contreverse.query.methods.orderby,307
contreverse.query.methods.range,772
contreverse.query.methods.select,296
contreverse.query.methods.stddev,363
contreverse.query.methods.sub,600
contreverse.query.methods.sum,280
contreverse.query.methods.update,307
contreverse.query.methods.variance,335
contreverse.query.methods.where,299
contreverse.query.methods.xor,354
contreverse.query.methods._,264
contreverse.query.Minimum,843
contreverse.query.Not,1554
contreverse.query.Or,970
contreverse.query.Query,13896
contreverse.query.Range,1594
contreverse.query.StringUtil,4130
contreverse.query.Sum,791
contreverse.query.Variable,1124
contreverse.query.Variance,1876
contreverse.query.Xor,1101
contreverse.scale,
contreverse.scale.IScaleMap,2105
contreverse.scale.LinearScale,1316
contreverse.scale.LogScale,3151
contreverse.scale.OrdinalScale,3770
contreverse.scale.QuantileScale,2435
contreverse.scale.QuantitativeScale,4839
contreverse.scale.RootScale,1756
contreverse.scale.Scale,4268
contreverse.scale.ScaleType,1821
contreverse.scale.TimeScale,5833
contreverse.util,
contreverse.util.Arrays,8258
contreverse.util.Colors,10001
contreverse.util.Dates,8217
contreverse.util.Displays,12555
contreverse.util.Filter,2324
contreverse.util.Geometry,10993
contreverse.util.heap,
contreverse.util.heap.FibonacciHeap,9354
contreverse.util.heap.HeapNode,1233
contreverse.util.IEvaluable,335
contreverse.util.IPredicate,383
contreverse.util.IValueProxy,874
contreverse.util.math,
contreverse.util.math.DenseMatrix,3165
contreverse.util.math.IMatrix,2815
contreverse.util.math.SparseMatrix,3366
contreverse.util.Maths,17705
contreverse.util.Orientation,1486
contreverse.util.palette,
contreverse.util.palette.ColorPalette,6367
contreverse.util.palette.Palette,1229
contreverse.util.palette.ShapePalette,2059
contreverse.util.palette.SizePalette,2291
contreverse.util.Property,5559
contreverse.util.Shapes,19118
contreverse.util.Sort,6887
contreverse.util.Stats,6557
contreverse.util.Strings,22026
contreverse.vis,
contreverse.vis.axis,
contreverse.vis.axis.Axes,1302
contreverse.vis.axis.Axis,24593
contreverse.vis.axis.AxisGridLine,652
contreverse.vis.axis.AxisLabel,636
contreverse.vis.axis.CartesianAxes,6703
contreverse.vis.controls,
contreverse.vis.controls.AnchorControl,2138
contreverse.vis.controls.ClickControl,3824
contreverse.vis.controls.Control,1353
contreverse.vis.controls.ControlList,4665
contreverse.vis.controls.DragControl,2649
contreverse.vis.controls.ExpandControl,2832
contreverse.vis.controls.HoverControl,4896
contreverse.vis.controls.IControl,763
contreverse.vis.controls.PanZoomControl,5222
contreverse.vis.controls.SelectionControl,7862
contreverse.vis.controls.TooltipControl,8435
contreverse.vis.data,
contreverse.vis.data.Data,20544
contreverse.vis.data.DataList,19788
contreverse.vis.data.DataSprite,10349
contreverse.vis.data.EdgeSprite,3301
contreverse.vis.data.NodeSprite,19382
contreverse.vis.data.render,
contreverse.vis.data.render.ArrowType,698
contreverse.vis.data.render.EdgeRenderer,5569
contreverse.vis.data.render.IRenderer,353
contreverse.vis.data.render.ShapeRenderer,2247
contreverse.vis.data.ScaleBinding,11275
contreverse.vis.data.Tree,7147
contreverse.vis.data.TreeBuilder,9930
contreverse.vis.events,
contreverse.vis.events.DataEvent,2313
contreverse.vis.events.SelectionEvent,1880
contreverse.vis.events.TooltipEvent,1701
contreverse.vis.events.VisualizationEvent,1117
contreverse.vis.legend,
contreverse.vis.legend.Legend,20859
contreverse.vis.legend.LegendItem,4614
contreverse.vis.legend.LegendRange,10530
contreverse.vis.operator,
contreverse.vis.operator.distortion,
contreverse.vis.operator.distortion.BifocalDistortion,4461
contreverse.vis.operator.distortion.Distortion,6314
contreverse.vis.operator.distortion.FisheyeDistortion,3444
contreverse.vis.operator.encoder,
contreverse.vis.operator.encoder.ColorEncoder,3179
contreverse.vis.operator.encoder.Encoder,4060
contreverse.vis.operator.encoder.PropertyEncoder,4138
contreverse.vis.operator.encoder.ShapeEncoder,1690
contreverse.vis.operator.encoder.SizeEncoder,1830
contreverse.vis.operator.filter,
contreverse.vis.operator.filter.FisheyeTreeFilter,5219
contreverse.vis.operator.filter.GraphDistanceFilter,3165
contreverse.vis.operator.filter.VisibilityFilter,3509
contreverse.vis.operator.IOperator,1286
contreverse.vis.operator.label,
contreverse.vis.operator.label.Labeler,9956
contreverse.vis.operator.label.RadialLabeler,3899
contreverse.vis.operator.label.StackedAreaLabeler,3202
contreverse.vis.operator.layout,
contreverse.vis.operator.layout.AxisLayout,6725
contreverse.vis.operator.layout.BundledEdgeRouter,3727
contreverse.vis.operator.layout.CircleLayout,9317
contreverse.vis.operator.layout.CirclePackingLayout,12003
contreverse.vis.operator.layout.DendrogramLayout,4853
contreverse.vis.operator.layout.ForceDirectedLayout,8411
contreverse.vis.operator.layout.IcicleTreeLayout,4864
contreverse.vis.operator.layout.IndentedTreeLayout,3174
contreverse.vis.operator.layout.Layout,7881
contreverse.vis.operator.layout.NodeLinkTreeLayout,12870
contreverse.vis.operator.layout.PieLayout,2728
contreverse.vis.operator.layout.RadialTreeLayout,12348
contreverse.vis.operator.layout.RandomLayout,870
contreverse.vis.operator.layout.StackedAreaLayout,9121
contreverse.vis.operator.layout.TreeMapLayout,9191
contreverse.vis.operator.Operator,2490
contreverse.vis.operator.OperatorList,5248
contreverse.vis.operator.OperatorSequence,4190
contreverse.vis.operator.OperatorSwitch,2581
contreverse.vis.operator.SortOperator,2023
contreverse.vis.Visualization,16540
